chr11	17483202	17483425	ABCC8
chr12	22068571	22068794	ABCC9
chr10	27065954	27066177	ABI1
chr9	133710786	133711009	ABL1
chr1	179086367	179086590	ABL2
chr3	42906109	42906332	ACKR2
chr2	237489181	237489404	ACKR3
chr2	223783688	223783911	ACSL3
chr5	131326485	131326708	ACSL6
chr2	158636792	158637015	ACVR1
chr12	52369054	52369277	ACVR1B
chr2	158412618	158412841	ACVR1C
chr2	148653838	148654061	ACVR2A
chr3	38519627	38519850	ACVR2B
chr12	52306960	52307183	ACVRL1
chr7	31102785	31103008	ADCYAP1R1
chr1	203098170	203098393	ADORA1
chr22	24829283	24829506	ADORA2A
chr17	15848473	15848696	ADORA2B
chr1	112045791	112046014	ADORA3
chr8	26722315	26722538	ADRA1A
chr5	159343812	159344035	ADRA1B
chr20	4229473	4229696	ADRA1D
chr10	112837872	112838095	ADRA2A
chr2	96781428	96781651	ADRA2B
chr4	3768353	3768576	ADRA2C
chr10	115803823	115804046	ADRB1
chr5	148206332	148206555	ADRB2
chr8	37823683	37823906	ADRB3
chr4	87968133	87968356	AFF1
chr2	100623158	100623381	AFF3
chr5	132269870	132270093	AFF4
chr3	148458981	148459204	AGTR1
chrX	115303476	115303699	AGTR2
chr7	91630366	91630589	AKAP9
chr14	105258855	105259078	AKT1
chr19	40748442	40748665	AKT2
chr12	112219673	112219896	ALDH2
chr2	30143222	30143445	ALK
chrX	63412526	63412749	AMER1
chr12	53819138	53819361	AMHR2
chr5	112043314	112043537	APC
chr11	57004105	57004328	APLNR
chr7	30951543	30951766	AQP1
chr1	154295387	154295610	AQP10
chr11	77301233	77301456	AQP11
chr12	50344757	50344980	AQP2
chr9	33447368	33447591	AQP3
chr18	24442277	24442500	AQP4
chr12	50355789	50356012	AQP5
chr12	50367106	50367329	AQP6
chr16	25228491	25228714	AQP8
chrX	66764968	66765191	AR
chr5	142150234	142150457	ARHGAP26
chr11	120298740	120298963	ARHGEF12
chr1	27023085	27023308	ARID1A
chr12	46123527	46123750	ARID2
chr1	150830728	150830951	ARNT
chr12	50452484	50452707	ASIC1
chr17	32483344	32483567	ASIC2
chr7	150745932	150746155	ASIC3
chr2	220379087	220379310	ASIC4
chr4	156784675	156784898	ASIC5
chr17	79935469	79935692	ASPSCR1
chr20	31017616	31017839	ASXL1
chr12	51203241	51203464	ATF1
chr2	216177125	216177348	ATIC
chr11	108098286	108098509	ATM
chrX	76939386	76939609	ATRX
chr12	63544374	63544597	AVPR1A
chr1	206224477	206224700	AVPR1B
chrX	153171157	153171380	AVPR2
chr16	396870	397093	AXIN1
chr19	41737058	41737281	AXL
chr8	143545608	143545831	BAI1
chr1	32222082	32222305	BAI2
chr6	69665853	69666076	BAI3
chr3	52442460	52442683	BAP1
chr1	85741906	85742129	BCL10
chr2	60773034	60773257	BCL11A
chr14	99724031	99724254	BCL11B
chr18	60985490	60985713	BCL2
chr19	45259471	45259694	BCL3
chr3	187451354	187451577	BCL6
chr12	122459907	122460130	BCL7A
chr1	147090934	147091157	BCL9
chrX	39937046	39937269	BCOR
chr22	23523049	23523272	BCR
chr14	96730110	96730333	BDKRB1
chr14	96707179	96707402	BDKRB2
chr11	102195677	102195900	BIRC3
chr15	91304258	91304481	BLM
chr4	96044866	96045089	BMPR1B
chr2	203383444	203383667	BMPR2
chr17	41243688	41243911	BRCA1
chr13	32906665	32906888	BRCA2
chr9	136918468	136918691	BRD3
chr19	15376320	15376543	BRD4
chr17	59885939	59886162	BRIP1
chrX	135570550	135570773	BRS3
chr15	40457208	40457431	BUB1B
chr2	24262190	24262413	C2orf44
chr12	8212123	8212346	C3AR1
chr19	47823133	47823356	C5AR1
chr19	47843965	47844188	C5AR2
chr19	13616910	13617133	CACNA1A
chr9	140772290	140772513	CACNA1B
chr12	2224320	2224543	CACNA1C
chr1	181452889	181453112	CACNA1E
chrX	49088160	49088383	CACNA1F
chr17	48646133	48646356	CACNA1G
chr16	1203865	1204088	CACNA1H
chr22	39994112	39994335	CACNA1I
chr1	201061048	201061271	CACNA1S
chr7	81713988	81714211	CACNA2D1
chr3	50513478	50513701	CACNA2D2
chr3	54157479	54157702	CACNA2D3
chr12	2023974	2024197	CACNA2D4
chr17	37347634	37347857	CACNB1
chr10	18429582	18429805	CACNB2
chr12	49212615	49212838	CACNB3
chr2	152955396	152955619	CACNB4
chr17	65040843	65041066	CACNG1
chr22	37098461	37098684	CACNG2
chr16	24268136	24268359	CACNG3
chr17	65020966	65021189	CACNG4
chr17	64873415	64873638	CACNG5
chr19	54496168	54496391	CACNG6
chr19	54417654	54417877	CACNG7
chr19	54483095	54483318	CACNG8
chr7	93116169	93116392	CALCR
chr2	188245356	188245579	CALCRL
chr1	7723377	7723600	CAMTA1
