chr11	17474697	17474924	ABCC8
chr12	22089453	22089680	ABCC9
chr10	27111994	27112221	ABI1
chr9	133730179	133730406	ABL1
chr1	179111988	179112215	ABL2
chr3	42905924	42906151	ACKR2
chr2	237489403	237489630	ACKR3
chr2	223773583	223773810	ACSL3
chr5	131325056	131325283	ACSL6
chr2	158636875	158637102	ACVR1
chr12	52374776	52375003	ACVR1B
chr2	158443775	158444002	ACVR1C
chr2	148653806	148654033	ACVR2A
chr12	52308997	52309224	ACVRL1
chr7	31104359	31104586	ADCYAP1R1
chr22	24836885	24837112	ADORA2A
chr17	15878114	15878341	ADORA2B
chr1	112043048	112043275	ADORA3
chr8	26722353	26722580	ADRA1A
chr5	159344208	159344435	ADRA1B
chr2	96781695	96781922	ADRA2B
chr5	148206573	148206800	ADRB2
chr8	37822936	37823163	ADRB3
chr4	87967266	87967493	AFF1
chr2	100625247	100625474	AFF3
chr5	132270351	132270578	AFF4
chr3	148458725	148458952	AGTR1
chrX	115303520	115303747	AGTR2
chr7	91602960	91603187	AKAP9
chr14	105246406	105246633	AKT1
chr2	29754850	29755077	ALK
chrX	63412987	63413214	AMER1
chr12	53822666	53822893	AMHR2
chr5	112102926	112103153	APC
chr11	57003274	57003501	APLNR
chr7	30961236	30961463	AQP1
chr1	154295457	154295684	AQP10
chr11	77301087	77301314	AQP11
chr9	33441979	33442206	AQP3
chr18	24442367	24442594	AQP4
chr12	50355960	50356187	AQP5
chr16	25228556	25228783	AQP8
chr15	58430713	58430940	AQP9
chrX	66764936	66765163	AR
chr5	142252912	142253139	ARHGAP26
chr11	120278368	120278595	ARHGEF12
chr1	27022845	27023072	ARID1A
chr12	46123536	46123763	ARID2
chr1	150811869	150812096	ARNT
chr12	50452740	50452967	ASIC1
chr17	31350804	31351031	ASIC2
chr7	150746086	150746313	ASIC3
chr4	156784768	156784995	ASIC5
chr17	79943329	79943556	ASPSCR1
chr20	30954128	30954355	ASXL1
chr12	51189630	51189857	ATF1
